Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
ASM4364395v1	GCA_043643955.1		Penicillium crustosum		PRB-2					Annotation submitted by Philipps-Universitaet Marburg	32152035	Scaffold	2024-10-23	JBCAMJ01	143
ASM491685v1	GCA_004916855.1		Penicillium brasilianum		ZJ-7						35596970	Scaffold	2019-04-25	SSWP01	1125
ASM201655v1	GCA_002016555.1		Penicillium brasilianum		LaBioMMi 136					Annotation submitted by LNCC	32945979	Scaffold	2017-03-03	LJBN01	248
ASM1462137v1	GCA_014621375.1		Penicillium crustosum		G10					Annotation submitted by USDA ARS	31341180	Scaffold	2020-09-17	JAAOZQ01	431
Pcrustosum_CAL64_v2	GCA_902712905.1		Penicillium crustosum					CAL64		Annotation submitted by UNIVERSITY OF TURIN	31059425	Scaffold	2025-02-20	CACTHZ02	427
ASM175002v1	GCA_001750025.1		Penicillium sclerotiorum		113						34025097	Scaffold	2016-09-29	MJCA01	228
ASM2558393v1	GCA_025583935.1		Penicillium crustosum		IFST Pcru1						31193977	Scaffold	2022-10-05	JANFQQ01	441
PgMRI314Ass_v1	GCA_001735785.1		Penicillium griseofulvum		MRI314						28072829	Contig	2016-09-20	LWCZ01	1656
ASM2882850v1	GCA_028828505.1		Penicillium rubens		IBT 35670					Annotation submitted by Aalborg University	33546860	Contig	2023-02-23	JAQKAG01	8
ASM2725700v2	GCA_027257005.2		Penicillium rubens		S27						29942334	Contig	2024-04-18	JAPDLD02	13
UCR_PencilliumYAP1_1.1	GCA_028751425.1		Penicillium rubens		YAP1					Annotation submitted by University of Southern California	34788359	Scaffold	2023-02-21	JAQSHQ01	46
ASM2725699v2	GCA_027256995.2		Penicillium rubens		212						29894441	Contig	2024-04-18	JAPDLE02	13
ASM1918927v1	GCA_019189275.1		Penicillium rubens		F8_6S_6F						30459701	Scaffold	2021-07-09	JAHAPB01	182
ASM1918924v1	GCA_019189245.1		Penicillium rubens		F8_6S_7F						31558626	Scaffold	2021-07-09	JAHAPA01	469
nPRUBv1	GCA_902636305.1		Penicillium rubens								30457692	Scaffold	2020-05-07	CACPRF01	101
ASM5357389v1	GCA_053573895.1		Penicillium rubens		MS0077						32444344	Contig	2025-11-21	JBNLKM01	531
ASM5357362v1	GCA_053573625.1		Penicillium rubens		MS0123						33762615	Contig	2025-11-21	JBNLKH01	610
ASM5357310v1	GCA_053573105.1		Penicillium rubens		MS0190						31894224	Contig	2025-11-21	JBNLJH01	303
ASM1105888v1	GCA_011058885.1		Penicillium rubens		43M1					Annotation submitted by University of Campinas	33386079	Scaffold	2020-03-03	SWKS01	466
ASM95277v2	GCA_000952775.2		Penicillium solitum		RS1						35233101	Contig	2016-05-01	JYNM02	7
ASM2882725v1	GCA_028827255.1		Penicillium brevicompactum		IBT 35673					Annotation submitted by Aalborg University	29909766	Contig	2023-02-23	JAPZBQ01	6
ASM2882751v1	GCA_028827515.1		Penicillium brevicompactum		IBT 35675					Annotation submitted by Aalborg University	32518670	Contig	2023-02-23	JAPZBR01	8
ASM5357366v1	GCA_053573665.1		Penicillium brevicompactum		MS0096						32039037	Contig	2025-11-21	JBNLKJ01	224
ASM5357298v1	GCA_053572985.1		Penicillium brevicompactum		MS0198						34257784	Contig	2025-11-21	JBNLJC01	921
ASM5357346v1	GCA_053573465.1		Penicillium brevicompactum		MS0154						34199252	Contig	2025-11-21	JBNLJY01	838
ASM5357306v1	GCA_053573065.1		Penicillium brevicompactum		MS0193						34227150	Contig	2025-11-21	JBNLJF01	885
ASM5357320v1	GCA_053573205.1		Penicillium brevicompactum		MS0184						34244639	Contig	2025-11-21	JBNLJM01	993
ASM4014400v1	GCA_040144005.1		Penicillium brevicompactum		CMG72					Annotation submitted by University of Aveiro	31099004	Scaffold	2024-06-12	JAVTHO01	239
ASM2362469v1	GCA_023624695.1		Penicillium solitum		S2401						31115313	Scaffold	2022-06-01	JAMABV01	175
ASM2362471v1	GCA_023624715.1		Penicillium solitum		M7003A						31139402	Scaffold	2022-06-01	JAMABU01	187
ASM2362473v1	GCA_023624735.1		Penicillium solitum		Y2401						31115820	Scaffold	2022-06-01	JAMABT01	181
ASM2362477v1	GCA_023624775.1		Penicillium solitum		PB3502S						31300834	Scaffold	2022-06-01	JAMABQ01	156
ASM2362475v1	GCA_023624755.1		Penicillium solitum		PL1801						31811785	Scaffold	2022-06-01	JAMABR01	207
ASM2362481v1	GCA_023624815.1		Penicillium solitum		Y2401C						31102149	Scaffold	2022-06-01	JAMABP01	195
ASM2362478v1	GCA_023624785.1		Penicillium solitum		S2705F						31759869	Scaffold	2022-06-01	JAMABS01	285
ASM2281334v1	GCA_022813345.1		Penicillium brevicompactum		FJII-L9-SW-P1						31228461	Scaffold	2022-04-04	JAKLMP01	510
ASM1984358v1	GCA_019843585.1		Penicillium brevicompactum		HOCR17						29672684	Scaffold	2021-09-01	JAHQJA01	38
ASM175000v1	GCA_001750005.1		Penicillium solitum		NJ1						31778960	Scaffold	2016-09-29	MJCB01	91
ASM2882687v1	GCA_028826875.1		Penicillium capsulatum		IBT 21917					Annotation submitted by Aalborg University	27537137	Contig	2023-02-23	JAPQKO01	10
ASM94377v1	GCA_000943775.1		Penicillium capsulatum		LiaoWQ-2011						34340580	Contig	2015-03-04	JPLR01	62
ASM94376v1	GCA_000943765.1		Penicillium capsulatum		ATCC 48735						34374118	Contig	2015-03-04	JPLQ01	65
ASM2281330v1	GCA_022813305.1		Penicillium decumbens		FJII-L3-CM-PAB4						24008368	Scaffold	2022-04-04	JAKLMS01	216
ASM207224v1	GCA_002072245.1		Penicillium decumbens		IBT 11843					Annotation submitted by Chalmers University of Technology	23940802	Scaffold	2017-03-24	MDYL01	403
ASM2281313v1	GCA_022813135.1		Penicillium decumbens		FKII-L3-CM-DRAB1						26798112	Scaffold	2022-04-04	JAKLNH01	281
ASM2558504v1	GCA_025585045.1		Penicillium verrucosum		IFST Pver1						29905142	Scaffold	2022-10-05	JANFQS01	1120
ASM2558509v1	GCA_025585095.1		Penicillium verrucosum		IFST Pver2						30334630	Scaffold	2022-10-05	JANFQR01	1092
PV808_April18ReSeqReAss	GCA_000970515.2		Penicillium verrucosum		BFE808						30246699	Contig	2018-07-03	LAKW02	1766
ASM2362737v1	GCA_023627375.1		Penicillium paneum		M1707						27179947	Scaffold	2022-06-01	JAMAFK01	256
ASM2362463v1	GCA_023624635.1		Penicillium paneum		PT1701						27313045	Scaffold	2022-06-01	JAMACB01	289
ASM2362461v1	GCA_023624615.1		Penicillium paneum		PF1704S						27184362	Scaffold	2022-06-01	JAMACA01	327
ASM2362451v1	GCA_023624515.1		Penicillium paneum		PH1708						27163800	Scaffold	2022-06-01	JAMACE01	269
ASM2362457v1	GCA_023624575.1		Penicillium paneum		S1708						26894645	Scaffold	2022-06-01	JAMABZ01	227
ASM2362449v1	GCA_023624495.1		Penicillium paneum		Y6003						26554457	Scaffold	2022-06-01	JAMACF01	259
ASM2362453v1	GCA_023624535.1		Penicillium paneum		M1705						27436793	Scaffold	2022-06-01	JAMACD01	556
ASM1558609v1	GCA_015586095.1		Penicillium camemberti		IF2SW-F1						36598760	Scaffold	2020-11-18	JACSPF01	834
ASM1558574v1	GCA_015585745.1		Penicillium camemberti		IIF8SW-F2						36578643	Scaffold	2020-11-18	JACSOP01	846
ASM1558626v1	GCA_015586265.1		Penicillium camemberti		F3_3F1_F						36854083	Scaffold	2020-11-18	JADBHB01	1098
ASM1558575v1	GCA_015585755.1		Penicillium camemberti		IIF8SW-F3						36611558	Scaffold	2020-11-18	JACSOO01	828
ASM2362455v1	GCA_023624555.1		Penicillium paneum		Y1702						27791976	Scaffold	2022-06-01	JAMACC01	1866
PPANFM227_20131217	GCA_000577715.1		Penicillium paneum FM227		FM227						26579303	Scaffold	2014-02-20	CBXN01	224
PBIFFM169_20131217	GCA_000577785.1		Penicillium biforme FM169		FM169						34874608	Scaffold	2014-02-20	CBXO01	582
PCAMFM013_20131106	GCA_000513335.1		Penicillium camemberti FM 013		FM 013					Annotation submitted by INRA-LIPM	35011981	Scaffold	2013-12-19	CBVV01	180
ASM2882867v1	GCA_028828675.1		Penicillium herquei		IBT 29812					Annotation submitted by Aalborg University	37080134	Contig	2023-02-23	JAQJZK01	11
ASM2882873v1	GCA_028828735.1		Penicillium canescens		IBT 15450					Annotation submitted by Aalborg University	46355660	Contig	2023-02-23	JAQJZL01	18
ASM2882900v1	GCA_028829005.1		Penicillium canescens		IBT 13549					Annotation submitted by Aalborg University	41574211	Contig	2023-02-23	JAQJZW01	15
ASM2882974v1	GCA_028829745.1		Penicillium canescens		IBT 15452					Annotation submitted by Aalborg University	46501943	Contig	2023-02-23	JAQKAC01	21
ASM2882879v1	GCA_028828795.1		Penicillium canescens		IBT 18980					Annotation submitted by Aalborg University	41773848	Contig	2023-02-23	JAQJZO01	20
ASM2882882v1	GCA_028828825.1		Penicillium canescens		IBT 19259					Annotation submitted by Aalborg University	32834794	Contig	2023-02-23	JAQJZP01	10
ASM2882874v1	GCA_028828745.1		Penicillium canescens		IBT 15449					Annotation submitted by Aalborg University	46485972	Contig	2023-02-23	JAQJZM01	23
ASM2882826v1	GCA_028828265.1		Penicillium herquei		IBT 20771					Annotation submitted by Aalborg University	33697684	Contig	2023-02-23	JAQJVJ01	21
ASM2875141v1	GCA_028751415.1		Penicillium turbatum		blh34						27898420	Contig	2023-02-21	JAPZPZ01	26
ASM2640142v1	GCA_026401425.1		Penicillium herquei		XQL_2021						40249563	Contig	2022-11-25	JANAWU01	65
ASM2550262v1	GCA_025502625.1		Penicillium olsonii		WHG5						29298018	Scaffold	2022-09-30	JANQBG01	62
Pols_LCP04863	GCA_911174945.1		Penicillium olsonii							Annotation submitted by University Paris-Sud	29440668	Scaffold	2022-09-22	CAJVOS01	104
Pbialowiezense_CAS30_v2	GCA_902713515.1		Penicillium bialowiezense					CAS30		Annotation submitted by UNIVERSITY OF TURIN	29196120	Scaffold	2025-02-20	CACTIO02	113
ASM5357326v1	GCA_053573265.1		Penicillium commune		MS0172						35971340	Contig	2025-11-21	JBNLJQ01	187
ASM5357338v1	GCA_053573385.1		Penicillium commune		MS0160						35971041	Contig	2025-11-21	JBNLJW01	193
ASM5357356v1	GCA_053573565.1		Penicillium commune		MS0135						35976482	Contig	2025-11-21	JBNLKE01	194
ASM5357312v1	GCA_053573125.1		Penicillium commune		MS0189						35973690	Contig	2025-11-21	JBNLJI01	198
ASM5357340v1	GCA_053573405.1		Penicillium commune		MS0163						36633640	Contig	2025-11-21	JBNLJV01	225
ASM5357387v1	GCA_053573875.1		Penicillium commune		MS0090						35962438	Contig	2025-11-21	JBNLKK01	187
ASM5357294v1	GCA_053572945.1		Penicillium commune		MS0203						35977220	Contig	2025-11-21	JBNLIY01	182
ASM5357415v1	GCA_053574155.1		Penicillium commune		MS0023						36628067	Contig	2025-11-21	JBNLKZ01	238
ASM5357300v1	GCA_053573005.1		Penicillium commune		MS0199						35975260	Contig	2025-11-21	JBNLJB01	172
ASM5357276v1	GCA_053572765.1		Penicillium commune		MS0228						35975049	Contig	2025-11-21	JBNLIQ01	184
ASM5357274v1	GCA_053572745.1		Penicillium commune		MS0262						35980095	Contig	2025-11-21	JBNLIP01	205
ASM5357336v1	GCA_053573365.1		Penicillium commune		MS0164						36626397	Contig	2025-11-21	JBNLJU01	237
ASM5357328v1	GCA_053573285.1		Penicillium commune		MS0175						35964138	Contig	2025-11-21	JBNLJP01	193
ASM5357268v1	GCA_053572685.1		Penicillium commune		MS0266						35971223	Contig	2025-11-21	JBNLIM01	219
ASM5357322v1	GCA_053573225.1		Penicillium commune		MS0182						35960574	Contig	2025-11-21	JBNLJN01	198
ASM5357296v1	GCA_053572965.1		Penicillium commune		MS0200						35964737	Contig	2025-11-21	JBNLJA01	189
ASM5357342v1	GCA_053573425.1		Penicillium commune		MS0158						36635272	Contig	2025-11-21	JBNLJX01	229
ASM5357272v1	GCA_053572725.1		Penicillium commune		MS0263						35973124	Contig	2025-11-21	JBNLIO01	212
ASM5357413v1	GCA_053574135.1		Penicillium commune		MS0028						35963695	Contig	2025-11-21	JBNLKY01	201
Pols_ESE00149	GCA_911174955.1		Penicillium olsonii							Annotation submitted by University Paris-Sud	29814039	Scaffold	2022-09-22	CAJVNP01	184
ASM5357352v1	GCA_053573525.1		Penicillium commune		MS0139						35974185	Contig	2025-11-21	JBNLKC01	212
ASM5357290v1	GCA_053572905.1		Penicillium commune		MS0205						35974884	Contig	2025-11-21	JBNLIX01	199
ASM5357318v1	GCA_053573185.1		Penicillium commune		MS0185						35977563	Contig	2025-11-21	JBNLJL01	191
ASM5357348v1	GCA_053573485.1		Penicillium commune		MS0141						35979068	Contig	2025-11-21	JBNLKB01	198
ASM5357288v1	GCA_053572885.1		Penicillium commune		MS0206						35970740	Contig	2025-11-21	JBNLIW01	207
ASM5357256v1	GCA_053572565.1		Penicillium commune		MS0279						36632090	Contig	2025-11-21	JBNLII01	237
ASM5357324v1	GCA_053573245.1		Penicillium commune		MS0177						35977971	Contig	2025-11-21	JBNLJO01	198
ASM5357391v1	GCA_053573915.1		Penicillium commune		MS0058						35970984	Contig	2025-11-21	JBNLKO01	186
ASM5357405v1	GCA_053574055.1		Penicillium commune		MS0036						35977115	Contig	2025-11-21	JBNLKU01	186
ASM5357266v1	GCA_053572665.1		Penicillium commune		MS0267						36628613	Contig	2025-11-21	JBNLIL01	257
ASM5357393v1	GCA_053573935.1		Penicillium commune		MS0076						35974089	Contig	2025-11-21	JBNLKN01	238
ASM5357257v1	GCA_053572575.1		Penicillium commune		MS0291						36631363	Contig	2025-11-21	JBNLIH01	265
ASM5357282v1	GCA_053572825.1		Penicillium commune		MS0213						35963030	Contig	2025-11-21	JBNLIT01	210
ASM5357314v1	GCA_053573145.1		Penicillium commune		MS0187						35963037	Contig	2025-11-21	JBNLJJ01	198
ASM5357262v1	GCA_053572625.1		Penicillium commune		MS0275						35975854	Contig	2025-11-21	JBNLIJ01	193
ASM5357368v1	GCA_053573685.1		Penicillium commune		MS0086						35975790	Contig	2025-11-21	JBNLKL01	199
ASM5357411v1	GCA_053574115.1		Penicillium commune		MS0031						36627483	Contig	2025-11-21	JBNLKX01	228
ASM5357364v1	GCA_053573645.1		Penicillium commune		MS0103						35962999	Contig	2025-11-21	JBNLKI01	229
ASM5357316v1	GCA_053573165.1		Penicillium commune		MS0186						35976742	Contig	2025-11-21	JBNLJK01	211
ASM5357419v1	GCA_053574195.1		Penicillium commune		MS0003						35964311	Contig	2025-11-21	JBNLLB01	205
ASM5357344v1	GCA_053573445.1		Penicillium commune		MS0148						35975495	Contig	2025-11-21	JBNLJZ01	218
ASM5357360v1	GCA_053573605.1		Penicillium commune		MS0129						36629016	Contig	2025-11-21	JBNLKG01	279
ASM5357278v1	GCA_053572785.1		Penicillium commune		MS0217						36635041	Contig	2025-11-21	JBNLIR01	250
ASM5357304v1	GCA_053573045.1		Penicillium commune		MS0196						35978951	Contig	2025-11-21	JBNLJE01	222
ASM5357264v1	GCA_053572645.1		Penicillium commune		MS0273						35973657	Contig	2025-11-21	JBNLIK01	190
Pols_CBS266.97	GCA_911150065.1		Penicillium olsonii							Annotation submitted by University Paris-Sud	28772805	Scaffold	2022-09-22	CAJVNJ01	100
ASM5357332v1	GCA_053573325.1		Penicillium commune		MS0165						35975334	Contig	2025-11-21	JBNLJT01	247
ASM5357399v1	GCA_053573995.1		Penicillium commune		MS0042						35974716	Contig	2025-11-21	JBNLKR01	205
ASM5357407v1	GCA_053574075.1		Penicillium commune		MS0034						35976935	Contig	2025-11-21	JBNLKV01	234
ASM5357260v1	GCA_053572605.1		Penicillium commune		MS0296						36633908	Contig	2025-11-21	JBNLIG01	261
ASM5357385v1	GCA_053573855.1		Penicillium commune		MS0188						35975469	Contig	2025-11-21	JBNMDY01	222
ASM5357354v1	GCA_053573545.1		Penicillium commune		MS0136						36632084	Contig	2025-11-21	JBNLKD01	263
ASM5357350v1	GCA_053573505.1		Penicillium commune		MS0147						35976057	Contig	2025-11-21	JBNLKA01	201
ASM5357358v1	GCA_053573585.1		Penicillium commune		MS0132						35978389	Contig	2025-11-21	JBNLKF01	237
ASM5357330v1	GCA_053573305.1		Penicillium commune		MS0171						35956627	Contig	2025-11-21	JBNLJR01	215
ASM5357417v1	GCA_053574175.1		Penicillium commune		MS0006						35965246	Contig	2025-11-21	JBNLLA01	230
ASM5357401v1	GCA_053574015.1		Penicillium commune		MS0040						35973461	Contig	2025-11-21	JBNLKS01	211
ASM5357403v1	GCA_053574035.1		Penicillium commune		MS0038						35973258	Contig	2025-11-21	JBNLKT01	218
ASM5357409v1	GCA_053574095.1		Penicillium commune		MS0033						35972170	Contig	2025-11-21	JBNLKW01	214
ASM5357270v1	GCA_053572705.1		Penicillium commune		MS0265						36630301	Contig	2025-11-21	JBNLIN01	302
Pols_CBS626.72	GCA_911150075.1		Penicillium olsonii							Annotation submitted by University Paris-Sud	29664249	Scaffold	2022-09-22	CAJVNK01	145
ASM5357284v1	GCA_053572845.1		Penicillium commune		MS0211						35978359	Contig	2025-11-21	JBNLIU01	240
ASM5357308v1	GCA_053573085.1		Penicillium commune		MS0191						35965930	Contig	2025-11-21	JBNLJG01	255
ASM5357334v1	GCA_053573345.1		Penicillium commune		MS0169						35969114	Contig	2025-11-21	JBNLJS01	260
ASM5357397v1	GCA_053573975.1		Penicillium commune		MS0043						36625832	Contig	2025-11-21	JBNLKQ01	301
ASM5357395v1	GCA_053573955.1		Penicillium commune		MS0048						35977519	Contig	2025-11-21	JBNLKP01	214
Poch_1.0	GCA_047150385.1		Penicillium ochrochloron		hvef18					Annotation submitted by Tohoku Medical Megabank Organization, Tohoku University	35878523	Scaffold	2024-11-20	BSEA01	370
ASM5357286v1	GCA_053572865.1		Penicillium commune		MS0208						36561999	Contig	2025-11-21	JBNLIV01	420
ASM2756946v1	GCA_027569465.1		Penicillium simplicissimum		NRRL 2016						33887775	Contig	2023-01-04	JAPDFD01	351
ASM2756944v1	GCA_027569445.1		Penicillium simplicissimum		NRRL 1075						35492966	Contig	2023-01-04	JAPDFC01	421
ASM238283v1	GCA_002382835.1		Penicillium occitanis (nom. inval.)		CT1					Annotation submitted by Center for Genomic Regulation (CRG)	36444931	Contig	2017-09-27	NPFJ01	1650
ASM5232353v1	GCA_052323535.1		Penicillium fuscoglaucum		ESE00090						34666940	Contig	2025-08-28	JBNLVY01	12
PNALFM193_20131217	GCA_000577395.2		Penicillium nalgiovense FM193		FM193						31913282	Scaffold	2014-02-20	CBXQ01	868
Pnal_ESE00253	GCA_911174935.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	31630503	Scaffold	2022-09-22	CAJVNQ01	479
Pnal_ESE00265	GCA_911175205.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	31250068	Scaffold	2022-09-22	CAJVOA01	532
Pnal_LCP03435	GCA_920106075.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	31422740	Scaffold	2022-07-01	CAKKTF01	512
Pnal_ESE00257	GCA_911174915.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	31547343	Scaffold	2022-09-22	CAJVOM01	476
Pnal_LCP03915	GCA_911175305.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	31543392	Scaffold	2022-09-22	CAJVOW01	503
Pnal_ESE00264	GCA_911175125.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	31779405	Scaffold	2022-09-22	CAJVOH01	616
ASM2281336v1	GCA_022813365.1		Penicillium fuscoglaucum		FJII-L5-SW-P3						36373805	Scaffold	2022-04-04	JAKLMO01	1188
PFUSFM041_20131217	GCA_000576735.1		Penicillium fuscoglaucum FM041		FM041						36085495	Scaffold	2014-02-20	CBXP01	953
ASM1980454v1	GCA_019804545.1		Penicillium fuscoglaucum		S/N-202-OC-P2						36055127	Contig	2021-08-30	JAETFT01	1126
ASM1980455v1	GCA_019804555.1		Penicillium fuscoglaucum		VS AB I KN 5						36046639	Contig	2021-08-30	JAETFU01	1126
Pnal_LCP03991	GCA_911639145.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	31425394	Scaffold	2022-07-01	CAJVRG01	611
Pnal_DTO204-F1	GCA_911174875.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	29880352	Scaffold	2022-09-22	CAJVNS01	459
ASM207242v1	GCA_002072425.1		Penicillium nalgiovense		IBT 13039					Annotation submitted by Chalmers University of Technology	32980092	Scaffold	2017-03-24	MOOB01	1954
Pnal_ESE00260	GCA_911174895.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	31236137	Scaffold	2022-09-22	CAJVOF01	628
Pnal_ESE00258	GCA_911174845.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	31097831	Scaffold	2022-09-22	CAJVOE01	619
Pnal_LCP05232	GCA_911639135.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	31334022	Scaffold	2022-07-01	CAJVRF01	624
Pnal_DTO334-C1	GCA_911175015.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	31418979	Scaffold	2022-09-22	CAJVNT01	612
Pnal_DTO334-B7	GCA_911175025.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	31350291	Scaffold	2022-09-22	CAJVOK01	620
Pnal_ESE00254	GCA_911175245.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	31381282	Scaffold	2022-09-22	CAJVNU01	618
Pnal_ESE00263	GCA_911175185.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	31809620	Scaffold	2022-09-22	CAJVOG01	663
Pnal_DTO259-D5	GCA_911174985.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	31583907	Scaffold	2022-09-22	CAJVOJ01	653
Pnal_ESE00256	GCA_911175325.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	31226533	Scaffold	2022-09-22	CAJVNV01	647
Pnal_ESE00259	GCA_911174975.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	31359185	Scaffold	2022-09-22	CAJVNZ01	647
Pnal_DTO335-D4	GCA_911174865.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	31406501	Scaffold	2022-09-22	CAJVOB01	633
Pnal_DTO053-A9	GCA_911175295.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	31172980	Scaffold	2022-09-22	CAJVOT01	622
Pnal_ESE00255	GCA_911175155.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	31057889	Scaffold	2022-09-22	CAJVOL01	645
Pnal_CBS297.97	GCA_911175315.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	31313954	Scaffold	2022-09-22	CAJVNY01	650
Pnal_ESE00261	GCA_911175145.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	31120043	Scaffold	2022-09-22	CAJVOV01	627
Pnal_CBS318.92	GCA_911175225.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	31474098	Scaffold	2022-09-22	CAJVON01	674
Pnal_ESE00268	GCA_911175035.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	31585821	Scaffold	2022-09-22	CAJVOD01	735
Pnal_ESE00267	GCA_911175165.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	30918143	Scaffold	2022-09-22	CAJVNR01	692
Pnal_CBS112438	GCA_911174885.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	31608114	Scaffold	2022-09-22	CAJVNN01	719
Pnal_ESE00262	GCA_911175235.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	29365678	Scaffold	2022-09-22	CAJVOX01	2542
ASM2882722v1	GCA_028827225.1		Penicillium sp. CMV-2018d		IBT 12396					Annotation submitted by Aalborg University	32244276	Contig	2023-02-23	JAPZBW01	7
ASM2882777v1	GCA_028827775.1		Penicillium malachiteum		IBT 13176					Annotation submitted by Aalborg University	34863708	Contig	2023-02-23	JAQJAM01	8
ASM5281463v1	GCA_052814635.1		Penicillium sp. PQxj3		PQxj3						37454497	Contig	2025-09-24	JBQSTR01	10
ASM2897401v1	GCA_028974015.1		Penicillium cf. griseofulvum		IBT 16849					Annotation submitted by Aalborg University	29823847	Contig	2023-02-23	JAPQKP01	8
ASM3071032v1	GCA_030710325.1		Penicillium sp. 91 TS-2023		91 TS-2023						35300634	Contig	2023-08-11	JARWGP01	23
ASM2882886v1	GCA_028828865.1		Penicillium sp. IBT 16267x		IBT 16267x					Annotation submitted by Aalborg University	33465021	Contig	2023-02-23	JAQJZQ01	12
ASM2882675v1	GCA_028826755.1		Penicillium angulare		IBT 30069					Annotation submitted by Aalborg University	38603916	Contig	2023-02-23	JAPQKH01	12
ASM2882787v1	GCA_028827875.1		Penicillium longicatenatum		IBT 33191					Annotation submitted by Aalborg University	32311308	Contig	2023-02-23	JAQJAI01	9
ASM2882753v1	GCA_028827535.1		Penicillium sp. DV-2018c		IBT 19332					Annotation submitted by Aalborg University	25359523	Contig	2023-02-23	JAQJAA01	6
ASM2882742v1	GCA_028827425.1		Penicillium sp. DV-2018c		IBT 6001					Annotation submitted by Aalborg University	25327983	Contig	2023-02-23	JAQJAB01	9
ASM2897404v1	GCA_028974045.1		Penicillium cf. viridicatum		IBT 20477					Annotation submitted by Aalborg University	35226502	Contig	2023-02-23	JAPQKQ01	10
ASM2882786v1	GCA_028827865.1		Penicillium frequentans		IBT 35679					Annotation submitted by Aalborg University	36177675	Contig	2023-02-23	JAQIZZ01	11
NB22_v1	GCA_029142805.1		Penicillium sp. WT45		WT45						28758677	Contig	2023-03-10	JARFLS01	8
NB21_v1	GCA_029142755.1		Penicillium sp. MT45		MT45						28661144	Contig	2023-03-10	JARFLT01	7
NB24_v1	GCA_029142745.1		Penicillium sp. BM32		BM32						28722057	Contig	2023-03-10	JARFLR01	9
ASM2882788v1	GCA_028827885.1		Penicillium sp. IBT 31633x		IBT 31633x					Annotation submitted by Aalborg University	30347723	Contig	2023-02-23	JAPWDP01	9
ASM2882699v1	GCA_028826995.1		Penicillium cf. griseofulvum		IBT 16848					Annotation submitted by Aalborg University	29797777	Contig	2023-02-23	JAPZBX01	10
ASM2882889v1	GCA_028828895.1		Penicillium sp. IBT 35674x		IBT 35674x					Annotation submitted by Aalborg University	37375558	Contig	2023-02-23	JAQKAT01	12
ASM2882676v1	GCA_028826765.1		Penicillium atrosanguineum		IBT 34669					Annotation submitted by Aalborg University	30509980	Contig	2023-02-23	JAPQKK01	10
ASM2882700v1	GCA_028827005.1		Penicillium atrosanguineum		IBT 21472					Annotation submitted by Aalborg University	30880235	Contig	2023-02-23	JAPZBO01	10
ASM2882723v1	GCA_028827235.1		Penicillium cf. griseofulvum		IBT 17755					Annotation submitted by Aalborg University	29442304	Contig	2023-02-23	JAPZBY01	12
ASM2882678v1	GCA_028826785.1		Penicillium atrosanguineum		IBT 31632					Annotation submitted by Aalborg University	30046757	Contig	2023-02-23	JAPQKJ01	16
ASM2882893v1	GCA_028828935.1		Penicillium sp. IBT 18751x		IBT 18751x					Annotation submitted by Aalborg University	30736580	Contig	2023-02-23	JAQJZS01	15
ASM380048v2	GCA_003800485.2		Penicillium sp. SPG-F15		SPG-F15						36414411	Contig	2023-04-26	PUHX02	78
ASM4946301v1	GCA_049463015.1		Penicillium sp. GS218		GS218						27767911	Contig	2025-04-10	JBMSUT01	34
NIH_D9_1.1	GCA_037356155.1		Penicillium sp. D9		D9						35073033	Contig	2024-03-19	JAYXSE01	55
